Date,Time,Open,High,Low,Close,Volume
2017.04.13,0:00,1.06639,1.06773,1.06089,1.06122,96724
2017.04.14,0:00,1.06116,1.06294,1.06056,1.06096,56395
2017.04.17,0:00,1.06102,1.06701,1.06025,1.06411,66221
2017.04.18,0:00,1.06415,1.07357,1.06365,1.07302,104650
2017.04.19,0:00,1.07279,1.07366,1.06995,1.07094,88812
2017.04.20,0:00,1.07089,1.07773,1.07073,1.07161,89223
2017.04.21,0:00,1.0716,1.07378,1.0682,1.07266,87650
2017.04.24,0:00,1.09047,1.09061,1.08205,1.08667,127030
2017.04.25,0:00,1.08668,1.09497,1.08511,1.09245,98530
2017.04.26,0:00,1.09243,1.09506,1.08554,1.09033,114746
2017.04.27,0:00,1.09024,1.09325,1.08514,1.0872,107760
2017.04.28,0:00,1.08702,1.09471,1.08567,1.08921,103986
2017.05.01,0:00,1.09086,1.09234,1.08838,1.08985,61703
2017.05.02,0:00,1.0897,1.09328,1.08878,1.09317,88645
2017.05.03,0:00,1.09276,1.09365,1.08825,1.08839,99251
2017.05.04,0:00,1.08847,1.09869,1.08745,1.09837,120355
2017.05.05,0:00,1.09837,1.09988,1.09476,1.09863,110866
2017.05.08,0:00,1.1016,1.10176,1.09159,1.09236,114797
2017.05.09,0:00,1.09234,1.09331,1.08631,1.08729,113880
2017.05.10,0:00,1.08728,1.08979,1.0853,1.08672,106916
2017.05.11,0:00,1.08671,1.08927,1.08387,1.08611,102005
2017.05.12,0:00,1.08611,1.09341,1.08553,1.09268,100098
2017.05.15,0:00,1.09318,1.09892,1.09222,1.09748,93335
2017.05.16,0:00,1.09747,1.1097,1.0973,1.10825,114841
2017.05.17,0:00,1.10823,1.11618,1.10792,1.11583,138429
2017.05.18,0:00,1.11583,1.11716,1.10755,1.11027,166349
2017.05.19,0:00,1.11025,1.12115,1.10957,1.1174,116778
2017.05.22,0:00,1.11984,1.12631,1.11611,1.12371,109228
2017.05.23,0:00,1.12371,1.1268,1.11747,1.11825,133264
2017.05.24,0:00,1.11821,1.12198,1.11681,1.12184,122011
2017.05.25,0:00,1.12181,1.12502,1.11932,1.12101,105876
2017.05.26,0:00,1.121,1.12342,1.11602,1.11733,106155
